"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
552,"Cijk_Ailk_Bljk_SB_MT32x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT3128_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA16_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS4_NLCA1_NLCB1_ONLL2_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO4_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG32_4_2_WGM16.kd",1,0,733,8831,8831,1572864,256,53760,0,64,0,64,64,"0x0","0x7b2b0d512580",2657066812366,2657067454416,2657067705829,2657067692616,251413
553,"unpermute_kernel(float const*, float*, int, int, int, int) [clone .kd]",1,0,734,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05540",2657066816514,2657067705829,2657067813154,2657067800187,107325
554,"__amd_rocclr_fillBufferAligned.kd",1,0,736,8831,8831,77824,256,0,0,12,4,48,64,"0x0","0x7b340229b580",2657067811476,2657067833400,2657067836166,2657067823666,2766
555,"permute_kernel(float*, float*, float*, float const*, int, int, int, int) [clone .kd]",1,0,738,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05500",2657067818509,2657067841699,2657067949665,2657067936876,107966
556,"Cijk_Alik_Bljk_SB_MT64x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR8_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVWn1_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB256_LPA4_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR17_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT2_16_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM32.kd",1,0,739,8831,8831,12582912,256,58880,0,128,136,80,64,"0x0","0x7b2b0e149b40",2657067827290,2657067949665,2657068350339,2657068338919,400674
557,"softmax_forward_kernel5(float*, float, float const*, int, int) [clone .kd]",1,0,740,8831,8831,3145728,256,0,64,44,4,48,64,"0x0","0x7b3401f05440",2657067832739,2657068350339,2657068492583,2657068479946,142244
558,"Cijk_Ailk_Bljk_SB_MT32x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT3128_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA16_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS4_NLCA1_NLCB1_ONLL2_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO4_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG32_4_2_WGM16.kd",1,0,741,8831,8831,1572864,256,53760,0,64,0,64,64,"0x0","0x7b2b0d512580",2657067841009,2657068492583,2657068736700,2657068723909,244117
559,"unpermute_kernel(float const*, float*, int, int, int, int) [clone .kd]",1,0,742,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05540",2657067845929,2657068736700,2657068848435,2657068835806,111735
560,"__amd_rocclr_fillBufferAligned.kd",1,0,744,8831,8831,77824,256,0,0,12,4,48,64,"0x0","0x7b340229b580",2657068847265,2657068869242,2657068872129,2657068859536,2887
561,"permute_kernel(float*, float*, float*, float const*, int, int, int, int) [clone .kd]",1,0,746,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05500",2657068854436,2657068877942,2657068990719,2657068978825,112777
